,TYPE,MainBranch,Country,ConvertedCompYearly,Employment
2,Data,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,40205.0,"Employed, full-time"
3,Developer FS,I am a developer by profession,Israel,215232.0,"Employed, full-time"
8,Developer BE,I am a developer by profession,Netherlands,49056.0,"Employed, full-time"
10,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,60307.0,"Employed, full-time"
11,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",United States of America,194400.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
12,Developer FS,I am a developer by profession,United States of America,65000.0,"Employed, full-time"
14,Developer FS,I am a developer by profession,United States of America,110000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
16,Developer FS,I am a developer by profession,Czech Republic,19224.0,"Employed, full-time"
17,Data,I am a developer by profession,Austria,202623.0,"Employed, full-time"
18,Developer BE,I am a developer by profession,Austria,51192.0,"Employed, full-time"
21,Developer FS,I am a developer by profession,Italy,34126.0,"Employed, full-time"
22,Developer BE,I am a developer by profession,Canada,97605.0,"Employed, full-time"
25,Developer BE,I am a developer by profession,Germany,90647.0,"Employed, full-time"
26,Developer FS,I am a developer by profession,United States of America,106960.0,"Employed, full-time"
28,Game Dev,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
29,Developer FS,I am a developer by profession,Ireland,1663644.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
31,Developer FS,I am a developer by profession,United States of America,102000.0,"Employed, full-time"
34,Developer BE,I am a developer by profession,Poland,83256.0,"Independent contractor, freelancer, or self-employed"
40,Data,I am a developer by profession,United States of America,130000.0,"Employed, full-time"
41,Data,I am a developer by profession,Israel,68160.0,"Employed, full-time"
45,Developer FE,I am a developer by profession,Madagascar,5124.0,"Employed, full-time"
47,Developer FS,I am a developer by profession,United States of America,135000.0,"Employed, full-time"
48,Developer BE,I am a developer by profession,Germany,106644.0,"Employed, full-time"
49,Developer FS,I am a developer by profession,Germany,51192.0,"Employed, full-time"
51,Developer BE,I am a developer by profession,Poland,38856.0,"Employed, full-time"
53,Developer FS,I am a developer by profession,United States of America,170000.0,"Employed, full-time"
54,Developer BE,I am a developer by profession,Norway,103705.0,"Employed, full-time"
55,Developer FS,I am a developer by profession,United States of America,141000.0,"Employed, full-time"
56,Developer BE,I am a developer by profession,Taiwan,55163.0,"Employed, full-time"
57,Developer FS,I am a developer by profession,Netherlands,46704.0,"Employed, full-time"
59,Testing/Apps/mobile,I am a developer by profession,Germany,63986.0,"Employed, full-time"
60,Manager,I am a developer by profession,Canada,66372.0,"Employed, full-time"
62,Developer FE,I am a developer by profession,France,74651.0,"Employed, full-time"
63,Developer FS,I am a developer by profession,United States of America,150000.0,"Employed, full-time"
66,Developer FS,I am a developer by profession,Brazil,24924.0,"Employed, full-time"
69,Developer FE,I am a developer by profession,Uruguay,38808.0,"Employed, full-time"
73,Developer FS,I am a developer by profession,Germany,63986.0,"Employed, full-time"
74,Developer FS,I am a developer by profession,Sweden,50220.0,"Employed, full-time"
76,Data,I am a developer by profession,United States of America,160000.0,"Employed, full-time"
79,Manager,I am a developer by profession,France,87448.0,"Employed, full-time"
83,Manager,"I am not primarily a developer, but I write code sometimes as part of my work",Uruguay,150000.0,"Employed, full-time"
84,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,69102.0,"Employed, full-time"
85,Data,I am a developer by profession,United States of America,95000.0,"Employed, full-time"
87,Manager,I am a developer by profession,Spain,95979.0,"Employed, full-time"
88,Developer FS,I am a developer by profession,Germany,71451.0,"Employed, full-time"
89,Manager,I am a developer by profession,Sweden,57288.0,"Employed, full-time"
90,Data,"I am not primarily a developer, but I write code sometimes as part of my work",France,63986.0,"Employed, full-time"
91,Developer FS,I am a developer by profession,France,63986.0,"Employed, full-time"
93,Developer FE,I am a developer by profession,United States of America,166000.0,"Employed, full-time"
94,Data,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,52769.0,"Employed, full-time"
95,Testing/Apps/mobile,I am a developer by profession,United States of America,92000.0,"Employed, full-time"
96,Developer FS,I am a developer by profession,Israel,143484.0,"Employed, full-time"
97,Data,I am a developer by profession,United States of America,450000.0,"Independent contractor, freelancer, or self-employed"
99,Developer FS,I am a developer by profession,Turkey,12024.0,"Employed, full-time"
101,Developer FS,I am a developer by profession,Germany,79983.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
102,Manager,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,47743.0,"Employed, full-time"
103,Developer FS,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
105,Developer FS,I am a developer by profession,Italy,93420.0,"Employed, full-time"
107,Data,I am a developer by profession,United States of America,35000.0,"Employed, full-time"
108,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,75384.0,"Employed, full-time"
109,Developer BE,I am a developer by profession,Spain,44790.0,"Employed, full-time"
111,Developer FS,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,78525.0,"Employed, full-time"
112,Developer BE,I am a developer by profession,Poland,76313.0,"Employed, full-time"
113,Manager,I am a developer by profession,United States of America,130000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
114,Manager,I am a developer by profession,Uruguay,26868.0,"Employed, full-time"
115,Developer BE,I am a developer by profession,United States of America,110000.0,"Employed, full-time"
117,Manager,I am a developer by profession,United States of America,6000000.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
120,Developer FS,I am a developer by profession,Canada,66372.0,"Employed, full-time"
121,Data,I am a developer by profession,Sweden,81672.0,"Employed, full-time"
122,Developer FS,I am a developer by profession,Romania,45300.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
123,Developer FS,"I am not primarily a developer, but I write code sometimes as part of my work",Italy,21120.0,"Employed, full-time"
126,Data,I am a developer by profession,Canada,78084.0,"Employed, full-time"
130,Developer BE,I am a developer by profession,Italy,614268.0,"Employed, full-time"
132,Developer FS,I am a developer by profession,United States of America,98000.0,"Employed, full-time"
133,Developer BE,I am a developer by profession,United States of America,144000.0,"Employed, full-time"
135,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,123127.0,"Employed, full-time"
138,Developer BE,I am a developer by profession,Israel,197292.0,"Employed, full-time"
142,Data,I am a developer by profession,Singapore,1571124.0,"Employed, full-time"
143,Developer FS,I am a developer by profession,Uruguay,103500.0,"Employed, full-time;Independent contractor, freelancer, or self-employed"
144,Testing/Apps/mobile,I am a developer by profession,Canada,35138.0,"Employed, full-time"
145,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,80409.0,"Employed, full-time"
151,Data,I am a developer by profession,India,15480.0,"Employed, full-time"
153,Manager,I am a developer by profession,United States of America,200000.0,"Employed, full-time"
154,Other (please specify):,"I am not primarily a developer, but I write code sometimes as part of my work",United Kingdom of Great Britain and Northern Ireland,904608.0,"Employed, full-time"
155,Developer FS,I am a developer by profession,United States of America,132000.0,"Employed, full-time"
156,Developer BE,I am a developer by profession,Belgium,63984.0,"Employed, full-time"
158,Admin,I am a developer by profession,Germany,92136.0,"Employed, full-time"
159,Developer FS,I am a developer by profession,Bulgaria,32712.0,"Employed, full-time"
160,Developer FS,I am a developer by profession,Netherlands,38388.0,"Employed, full-time"
161,Admin,I am a developer by profession,Germany,165298.0,"Employed, full-time"
163,Developer BE,I am a developer by profession,Ireland,106644.0,"Employed, full-time"
164,Manager,I am a developer by profession,United States of America,136000.0,"Employed, full-time"
165,Developer BE,I am a developer by profession,United Kingdom of Great Britain and Northern Ireland,331692.0,"Employed, full-time"
